COUNTY,College Degree,Labor Force,Foreigners,Females,Income,Poverty,Rural,Black or African American,Latinx,AAPI,Never Married,65+,Prob Dem
Fauquier County,17487.0,37337.0,4430.0,35221.0,45408.0,4030.0,37489.0,5091.0,7793.0,4452.0,9258.0,14078.0,0.0
Floyd County,2567.0,7501.0,480.0,7808.0,26882.0,1613.0,15279.0,244.0,487.0,302.0,1949.0,4892.0,0.0
Fluvanna County,6544.0,13085.0,920.0,14377.0,39633.0,1370.0,16163.0,3730.0,1107.0,665.0,2971.0,6822.0,0.6
Franklin city,1099.0,4005.0,111.0,4507.0,24025.0,1178.0,279.0,4639.0,218.0,165.0,1894.0,3016.0,0.0
Franklin County,8920.0,26188.0,1229.0,28609.0,30487.0,7869.0,50111.0,3921.0,1955.0,1276.0,7227.0,16642.0,0.0
Frederick County,16864.0,44631.0,5381.0,43373.0,35123.0,5229.0,35059.0,3718.0,9990.0,6537.0,9094.0,16257.0,0.0
Fredericksburg city,7061.0,16645.0,2908.0,15625.0,35731.0,4052.0,283.0,6135.0,3472.0,3118.0,6844.0,4883.0,0.0
Galax city,702.0,2839.0,426.0,3427.0,23025.0,1490.0,966.0,367.0,1061.0,679.0,996.0,2733.0,0.2
Giles County,2193.0,7872.0,172.0,8550.0,27137.0,1683.0,11458.0,244.0,244.0,135.0,2408.0,5898.0,0.0
Gloucester County,6300.0,18712.0,634.0,19049.0,33692.0,3251.0,23820.0,2753.0,1410.0,739.0,5339.0,9518.0,0.0
Goochland County,7159.0,11472.0,945.0,11518.0,51720.0,1133.0,21064.0,3267.0,862.0,880.0,2491.0,5346.0,0.0
Grayson County,1649.0,6823.0,352.0,7672.0,21663.0,3076.0,15514.0,904.0,596.0,273.0,2478.0,6294.0,0.0
Greene County,3935.0,10638.0,891.0,9982.0,32508.0,1231.0,9430.0,1447.0,1330.0,1157.0,2419.0,3830.0,0.6
Greensville County,805.0,4099.0,198.0,4269.0,19550.0,1259.0,10653.0,6657.0,276.0,82.0,1785.0,2859.0,0.0
Halifax County,3835.0,15066.0,712.0,17907.0,23909.0,4690.0,27935.0,11791.0,760.0,664.0,6683.0,13392.0,0.0
Hampton city,24346.0,70931.0,6346.0,69936.0,30135.0,19751.0,342.0,67915.0,8411.0,7029.0,33244.0,31999.0,0.0
Hanover County,29042.0,57244.0,3712.0,53801.0,41200.0,5487.0,39032.0,9808.0,3938.0,3776.0,13253.0,22263.0,0.0
Harrisonburg city,9795.0,27168.0,9122.0,27725.0,23202.0,13025.0,0.0,4218.0,12045.0,8174.0,18564.0,7800.0,0.0
Henrico County,99221.0,181494.0,42244.0,172295.0,39516.0,29673.0,13103.0,97568.0,22085.0,43531.0,55203.0,70525.0,0.0
Henry County,5268.0,21648.0,1390.0,26491.0,22372.0,9149.0,32881.0,11160.0,3301.0,1934.0,9507.0,19348.0,0.4
Highland County,422.0,908.0,6.0,1142.0,31485.0,220.0,2321.0,2.0,35.0,19.0,396.0,1096.0,0.6
Hopewell city,2199.0,10307.0,830.0,11957.0,21927.0,5253.0,0.0,9852.0,1889.0,1242.0,4770.0,6625.0,0.0
Isle of Wight County,7107.0,19257.0,1081.0,18686.0,37126.0,3818.0,20240.0,8660.0,1199.0,905.0,4974.0,8803.0,1.0
James City County,27426.0,36184.0,5012.0,38796.0,44495.0,5366.0,10622.0,10028.0,5199.0,4363.0,7857.0,21967.0,0.0
King and Queen County,1234.0,3321.0,86.0,3519.0,31174.0,874.0,6945.0,1571.0,182.0,117.0,1183.0,2291.0,0.0
King George County,6246.0,13941.0,742.0,13016.0,38739.0,1329.0,17261.0,3983.0,1582.0,944.0,3077.0,4007.0,0.0
King William County,2417.0,8626.0,339.0,8528.0,30704.0,1400.0,13260.0,2601.0,476.0,374.0,2111.0,3503.0,0.0
Lancaster County,2717.0,4449.0,285.0,5690.0,40062.0,1035.0,11391.0,2951.0,125.0,138.0,1549.0,6849.0,0.0
Lee County,2015.0,8643.0,317.0,11418.0,19720.0,5694.0,25475.0,885.0,476.0,120.0,3529.0,7745.0,0.0
Lexington city,1490.0,2611.0,337.0,3129.0,19047.0,1191.0,0.0,459.0,335.0,404.0,3219.0,2203.0,0.0
Loudoun County,155565.0,223456.0,96782.0,199365.0,55744.0,13342.0,39354.0,30568.0,59744.0,118178.0,26557.0,29963.0,0.8
Louisa County,6308.0,17502.0,1307.0,18361.0,34041.0,4209.0,33153.0,5408.0,1365.0,873.0,4587.0,8111.0,0.0
Lunenburg County,1016.0,4863.0,745.0,5980.0,19848.0,1856.0,12914.0,3805.0,589.0,379.0,2832.0,4431.0,0.6
Lynchburg city,15981.0,39127.0,4220.0,42840.0,23863.0,13676.0,2034.0,21453.0,3880.0,4207.0,17293.0,21201.0,0.0
Madison County,2240.0,6536.0,390.0,6767.0,30777.0,852.0,13308.0,1065.0,441.0,301.0,1990.0,4213.0,0.0
Manassas city,7819.0,23036.0,10772.0,20517.0,33082.0,3270.0,0.0,5124.0,18345.0,14740.0,7062.0,4509.0,1.0
Manassas Park city,3093.0,9808.0,6135.0,8099.0,34326.0,1073.0,0.0,2136.0,7799.0,7111.0,2130.0,1248.0,0.0
Martinsville city,1844.0,5473.0,482.0,7145.0,22836.0,2962.0,0.0,6094.0,1025.0,655.0,3161.0,5828.0,0.0
Mathews County,1929.0,3786.0,199.0,4406.0,35731.0,990.0,8978.0,660.0,197.0,132.0,1384.0,4283.0,0.0
Mecklenburg County,4583.0,12636.0,741.0,15839.0,25056.0,5627.0,25465.0,10435.0,821.0,700.0,6190.0,12560.0,0.2
Middlesex County,1800.0,4650.0,280.0,5473.0,31502.0,1036.0,10959.0,1523.0,259.0,138.0,1424.0,4990.0,0.0
Montgomery County,25446.0,48077.0,7628.0,47476.0,30054.0,20897.0,23528.0,4165.0,4651.0,10031.0,31156.0,16433.0,0.0
Nelson County,3368.0,7148.0,434.0,7588.0,35489.0,1909.0,15020.0,1538.0,663.0,435.0,2595.0,5408.0,0.0
New Kent County,4218.0,11372.0,581.0,10816.0,38080.0,1457.0,18429.0,2739.0,731.0,519.0,2015.0,3494.0,0.2
Newport News city,30596.0,95219.0,13462.0,92813.0,28294.0,26138.0,51.0,78687.0,19288.0,15689.0,39387.0,37372.0,0.0
Norfolk city,44060.0,140204.0,17703.0,116878.0,29830.0,41016.0,0.0,95594.0,23130.0,18991.0,69000.0,48328.0,0.0
Northampton County,1970.0,5109.0,649.0,6167.0,28518.0,2079.0,12389.0,3785.0,1068.0,639.0,2675.0,5552.0,1.0
Northumberland County,2833.0,5013.0,161.0,6259.0,36261.0,1776.0,12330.0,2690.0,351.0,264.0,1651.0,6920.0,1.0
Norton city,625.0,1798.0,146.0,2118.0,21741.0,1102.0,102.0,180.0,81.0,66.0,763.0,1176.0,0.0
Nottoway County,1627.0,6028.0,589.0,6962.0,24571.0,2519.0,8298.0,5813.0,773.0,410.0,2736.0,5399.0,0.0
Orange County,6342.0,18042.0,1671.0,18298.0,32292.0,2873.0,19345.0,4364.0,2171.0,1192.0,4311.0,10507.0,0.0
Page County,2384.0,11664.0,388.0,12034.0,25170.0,3553.0,19272.0,439.0,497.0,288.0,3866.0,7892.0,0.4
Patrick County,2063.0,7842.0,235.0,8936.0,24292.0,2467.0,18490.0,840.0,567.0,373.0,2647.0,7170.0,0.0
Petersburg city,4303.0,15363.0,1210.0,17068.0,23611.0,7406.0,683.0,24811.0,1970.0,1513.0,9524.0,10101.0,0.0
Pittsylvania County,6574.0,29203.0,1076.0,31143.0,26032.0,9656.0,54380.0,12417.0,1712.0,1114.0,10419.0,19775.0,0.0
Poquoson city,3572.0,6140.0,517.0,6067.0,40258.0,679.0,790.0,120.0,463.0,404.0,1578.0,3205.0,1.0
Portsmouth city,13925.0,48396.0,2774.0,49393.0,26312.0,15312.0,0.0,52214.0,4413.0,3164.0,23726.0,26473.0,0.0
Powhatan County,6228.0,13654.0,636.0,13491.0,37424.0,1405.0,27955.0,2505.0,792.0,461.0,2856.0,5290.0,0.0
Prince Edward County,3489.0,9312.0,1175.0,11576.0,21017.0,3248.0,14771.0,9269.0,1088.0,939.0,5343.0,6046.0,1.0
Prince George County,6203.0,17759.0,1220.0,17521.0,29420.0,2765.0,19078.0,12968.0,4344.0,2897.0,7008.0,6112.0,1.0
Prince William County,121316.0,254286.0,112955.0,230936.0,40932.0,30294.0,16748.0,97457.0,121524.0,117259.0,52380.0,40693.0,0.0
Pulaski County,5126.0,16528.0,662.0,17060.0,28125.0,4862.0,16356.0,1658.0,704.0,523.0,5086.0,11564.0,0.0
Radford city,3115.0,8693.0,455.0,9303.0,21797.0,5349.0,481.0,2182.0,765.0,711.0,7888.0,2847.0,1.0
Rappahannock County,1966.0,3762.0,321.0,3635.0,41792.0,642.0,7373.0,200.0,289.0,167.0,952.0,2371.0,1.0
Richmond city,62578.0,125447.0,15933.0,119192.0,33549.0,50200.0,0.0,91653.0,23747.0,21815.0,65838.0,48748.0,1.0
Richmond County,1232.0,3358.0,368.0,4027.0,22853.0,1254.0,9254.0,2439.0,597.0,316.0,1650.0,3239.0,1.0
Roanoke city,16387.0,50856.0,6664.0,51973.0,27006.0,20240.0,6.0,27470.0,8484.0,7328.0,20916.0,29396.0,1.0
Roanoke County,24021.0,47332.0,5346.0,48702.0,36469.0,6335.0,17127.0,5764.0,3507.0,4976.0,13152.0,29557.0,1.0
Rockbridge County,4537.0,10457.0,524.0,11343.0,31539.0,3167.0,20442.0,575.0,513.0,457.0,3601.0,7879.0,0.0
Rockingham County,14475.0,40709.0,4651.0,40892.0,31275.0,6895.0,45279.0,1886.0,7093.0,4294.0,11492.0,21395.0,1.0
Russell County,2438.0,9935.0,248.0,13835.0,21605.0,5677.0,25483.0,229.0,168.0,111.0,4122.0,8781.0,1.0
Salem city,4775.0,12883.0,857.0,13546.0,31924.0,2058.0,0.0,1949.0,1088.0,1053.0,5247.0,8388.0,1.0
Scott County,2188.0,8806.0,268.0,10827.0,22898.0,3254.0,19034.0,134.0,255.0,95.0,3288.0,8730.0,1.0
Shenandoah County,6353.0,21521.0,2016.0,21923.0,28882.0,4919.0,27961.0,1087.0,3726.0,2071.0,5608.0,13851.0,1.0
Smyth County,3292.0,13241.0,429.0,15606.0,21605.0,5654.0,24248.0,430.0,558.0,344.0,4888.0,11250.0,1.0
Southampton County,2432.0,8008.0,85.0,8633.0,26600.0,1473.0,18192.0,5924.0,332.0,206.0,3618.0,5319.0,1.0
